Designator,Mid X,Mid Y,Layer,Rotation
BOOT1,155.75,-75.5,bottom,0
C11,109.260589,-70.489411,bottom,315
C12,105.848008,-72.201992,bottom,135
C13,99.7,-82.45,bottom,315
C14,112.394147,-76.519813,bottom,315
C15,90.385534,-78.35,bottom,45
C16,93.875,-81.825,bottom,225
C17,108.3,-74.25,bottom,135
C18,104.85,-70.9,bottom,135
C19,93.213961,-66.271825,bottom,45
C20,91.789411,-79.739411,bottom,225
D_0,0.7,-5.425,bottom,90
D_1,13.4,-5.4,bottom,90
D_10,191.2,-5.425,bottom,90
D_11,210.25,-5.425,bottom,90
D_12,229.3,-5.425,bottom,90
D_13,254.7,-9.4,bottom,90
D_14,264.2,-9.4,bottom,90
D_15,7.35,-23.475,bottom,90
D_16,31.1,-23.4,bottom,90
D_17,50.15,-23.4,bottom,90
D_18,69.2,-23.4,bottom,90
D_19,88.25,-23.4,bottom,90
D_2,38.8,-5.425,bottom,90
D_20,107.3,-23.4,bottom,90
D_21,126.35,-23.4,bottom,90
D_22,145.4,-23.4,bottom,90
D_23,164.45,-23.4,bottom,90
D_24,183.5,-23.4,bottom,90
D_25,202.55,-23.4,bottom,90
D_26,221.6,-23.4,bottom,90
D_27,240.6,-23.4,bottom,90
D_28,256.45,-23.5,bottom,90
D_29,9.7,-42.5,bottom,90
D_3,57.85,-5.425,bottom,90
D_30,35.9,-42.5,bottom,90
D_31,54.95,-42.5,bottom,90
D_32,74,-42.5,bottom,90
D_33,93.1,-42.5,bottom,90
D_34,112.1,-42.5,bottom,90
D_35,131.1,-42.5,bottom,90
D_36,150.2,-42.5,bottom,90
D_37,169.2,-42.5,bottom,90
D_38,188.3,-42.5,bottom,90
D_39,207.3,-42.5,bottom,90
D_4,76.9,-5.425,bottom,90
D_40,226.4,-42.5,bottom,90
D_41,246.3,-42,bottom,90
D_42,27.2,-60.8,bottom,90
D_43,45.4,-61.4,bottom,90
D_44,64.45,-61.4,bottom,90
D_45,83.5,-61.4,bottom,90
D_46,102.5,-61.4,bottom,90
D_47,121.6,-61.4,bottom,90
D_48,140.7,-61.4,bottom,90
D_49,159.7,-61.4,bottom,90
D_5,95.95,-5.425,bottom,90
D_50,178.75,-61.4,bottom,90
D_51,197.8,-61.4,bottom,90
D_52,216.85,-61.4,bottom,90
D_53,253.4,-60.8,bottom,90
D_54,10.92,-70.699999,bottom,270
D_55,39.37,-70.699999,bottom,270
D_56,60.5,-71.4,bottom,90
D_57,139.1,-69.4,bottom,270
D_58,198.6,-70.699999,bottom,270
D_59,222.4,-70.699999,bottom,270
D_6,115,-5.425,bottom,90
D_60,246.15,-70.699999,bottom,270
D_61,269.9,-70.699999,bottom,270
D_62,15.8,-60.8,bottom,90
D_63,270,-60.8,bottom,90
D_64,262.8,-42,bottom,90
D_7,134.05,-5.425,bottom,90
D_8,153.1,-5.425,bottom,90
D_9,172.15,-5.425,bottom,90
F1,23.3,-42.3,bottom,180
R1,1.3,3.975,bottom,0
R10,104.545235,-80.945235,bottom,225
R2,17.175,4.375,bottom,0
R3,141.425,5.625,bottom,180
R4,141.425,4.05,bottom,0
R9,103.4,-82.1,bottom,225
U1,110.338235,-75.393745,bottom,315
U3,97.103048,-74.05,bottom,45
U4,107.25,-69.2,bottom,45
